Credit Card Name,Bank,Network 1,Network 2,Network 3,Network 4
Prime Bobcard,Bank of Baroda,Visa Classic,Mastercard Standard,,
RBL Bank Bankbazaar Savemax Credit Card,RBL Bank,Visa Classic,Mastercard Standard,,
Kotak Urbane Gold Credit Card,Kotak Mahindra Bank,Visa Corporate,,,
Bajaj Finance Platinum Choice Super Card,Bajaj Finance,Mastercard Platinum,,,
Emirates Skywards Rubyx Credit Card,ICICI Bank,Visa Signature,,,
Karnataka Bank SBI Card Prime,Karnataka Bank,Visa Signature,,,
Bank of India Visa Gold Credit Card,Bank of India,Visa Gold,,,
City Union Bank SBI Card Prime,State Bank of India,Visa Signature,,,
SBI Card Elite,State Bank of India,Visa Signature,"Mastercard World
","American Express Platinum
",
RBL Bank Platinum Maxima Credit Card,RBL Bank,Mastercard Platinum,,,
Canara Bank Visa Platinum Credit Card,Canara Bank,Visa Platinum,,,
Yes Prosperity Cashback Credit Card,Yes Bank,Mastercard Standard,,,
ICICI Bank Manchester United Signature Credit Card,ICICI Bank,Visa Signature,,,
Federal Bank Wave Credit Card ,Federal Bank,Rupay Platinum,,,
ICICI Bank Expressions Credit Card,ICICI Bank,Visa Platinum,,,
Spar SBI Card,State Bank of India,Visa Classic,,,
YES Bank Marquee Credit Card,Yes Bank,Visa Infinite,,,
Bank of India Rupay Platinum Credit Card,Bank of India,Rupay Platinum,,,
ICICI Parakram Credit Card,ICICI Bank,Visa Classic,,,
RBL Bank EasySaver Credit Card  ,RBL Bank,Visa Classic,Mastercard Standard,,
RBL Bank SalarySe Up RuPay Credit Card,RBL Bank,Rupay Select,,,
Bank of India SwaDhan Rupay Platinum Credit Card ,Bank of India,Rupay Platinum,,,
Kotak League Platinum Credit Card,Kotak Mahindra Bank,Visa Platinum,Rupay Platinum,,
TVS Credit RBL Bank Card ,RBL Bank,Mastercard Standard,RuPay Classic,,
IRCTC RBL Bank Credit Card,RBl Bank,Rupay Select,,,
PNB EMT Rupay Platinum Credit Card,Punjab National Bank,Rupay Platinum,,,
RBL Bank Play Credit Card,RBL Bank,Mastercard Standard,,,
Karur Vysya Bank SBI Platinum Credit Card,Karur Vysya Bank,Visa Platinum,,,
