Offer,Description,Link,Eligible Credit Cards,Eligible Debit Cards,UPI
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,DBS Vantage Card (Visa Infinite),IDFC First Select Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,DBS Vantage Card (Visa Infinite),HDFC Infiniti Debit Card. (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,DBS Vantage Card (Visa Infinite),ICICI Private Banking Visa Infinite Debit Card (Visa Infinite),
Visa Infinite Card Offer,"Get discounts on movies, F&B and non-movies with Visa Infinite Debit/Credit Cards",https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224,DBS Vantage Card (Visa Infinite),DBS Visa Infinite Debit Card -Treasures (Visa Infinite),
"YES First Preferred, Reserv & Elite Credit Card Offer",Get 25% discount on your movie tickets with YES BANK Credit Cards,"https://in.bookmyshow.com/offers/yes-first-preferred,-reserv-&-elite-credit-card-offer/YESCC0124",Yes Reserv Credit Card,,
"YES First Preferred, Reserv & Elite Credit Card Offer",Get 25% discount on your movie tickets with YES BANK Credit Cards,"https://in.bookmyshow.com/offers/yes-first-preferred,-reserv-&-elite-credit-card-offer/YESCC0124",Yes ELITE + Credit Card,,
"YES First Preferred, Reserv & Elite Credit Card Offer",Get 25% discount on your movie tickets with YES BANK Credit Cards,"https://in.bookmyshow.com/offers/yes-first-preferred,-reserv-&-elite-credit-card-offer/YESCC0124",Yes First Preferred Credit Card,,
HDFC Bank Diners Club Privilege Credit Card Offer,Get upto INR 250 per ticket on group booking using HDFC Bank Diners Club Privilege credit card *T&C Apply,https://in.bookmyshow.com/offers/hdfc-bank-diners-club-privilege-credit-card-offer/HDFCDZ0623,HDFC Diners Club Privilege Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank Insta Platinum Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank HPCL Titanium Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank HPCL Coral Platinum Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank Coral Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank LTN Coral Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank NRI Unsecured Coral Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank Expressions Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank MMT Platinum Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank ManU Platinum Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank Ferrari Platinum Credit Card ICICI Bank MakeyMyTrip Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank Adani One Platinum Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank HPCL Super Saver Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank Rubyx Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank LTN Rubyx Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank Secured Rubyx Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank Ferrari Signature Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank ManU Signature Credit Card,,
ICICI Bank Credit Card 25% Discount Offer,ICICI Bank Credit Card 25% Discount Offer,https://in.bookmyshow.com/offers/icici-bank-25-discount-offer/ICICICC520,ICICI Bank MakeMyTrip Signature Credit Card,,
"IndusInd Bank Super Premium & Premium Credit Cards Offer (Indulge, Crest, Celesta, Heritage (Non-Metal) , Legacy, Vistara Explorer Co - Branded, Pinnacle)",IndusInd Bank Super Premium & Premium Credit Cards Offer,"https://in.bookmyshow.com/offers/indusind-bank-super-premium-&-premium-credit-cards-offer-(indulge,-crest,-celesta,-heritage-(non-metal)-,-legacy,-vistara-explorer-co--branded,-pinnacle)/INDSPC0424",IndusInd Indulge Credit Card,,
"IndusInd Bank Super Premium & Premium Credit Cards Offer (Indulge, Crest, Celesta, Heritage (Non-Metal) , Legacy, Vistara Explorer Co - Branded, Pinnacle)",IndusInd Bank Super Premium & Premium Credit Cards Offer,"https://in.bookmyshow.com/offers/indusind-bank-super-premium-&-premium-credit-cards-offer-(indulge,-crest,-celesta,-heritage-(non-metal)-,-legacy,-vistara-explorer-co--branded,-pinnacle)/INDSPC0424",IndusInd Crest Credit Card,,
"IndusInd Bank Super Premium & Premium Credit Cards Offer (Indulge, Crest, Celesta, Heritage (Non-Metal) , Legacy, Vistara Explorer Co - Branded, Pinnacle)",IndusInd Bank Super Premium & Premium Credit Cards Offer,"https://in.bookmyshow.com/offers/indusind-bank-super-premium-&-premium-credit-cards-offer-(indulge,-crest,-celesta,-heritage-(non-metal)-,-legacy,-vistara-explorer-co--branded,-pinnacle)/INDSPC0424",IndusInd Celesta Credit Card,,
"IndusInd Bank Super Premium & Premium Credit Cards Offer (Indulge, Crest, Celesta, Heritage (Non-Metal) , Legacy, Vistara Explorer Co - Branded, Pinnacle)",IndusInd Bank Super Premium & Premium Credit Cards Offer,"https://in.bookmyshow.com/offers/indusind-bank-super-premium-&-premium-credit-cards-offer-(indulge,-crest,-celesta,-heritage-(non-metal)-,-legacy,-vistara-explorer-co--branded,-pinnacle)/INDSPC0424",IndusInd Heritage Credit Card,,
"IndusInd Bank Super Premium & Premium Credit Cards Offer (Indulge, Crest, Celesta, Heritage (Non-Metal) , Legacy, Vistara Explorer Co - Branded, Pinnacle)",IndusInd Bank Super Premium & Premium Credit Cards Offer,"https://in.bookmyshow.com/offers/indusind-bank-super-premium-&-premium-credit-cards-offer-(indulge,-crest,-celesta,-heritage-(non-metal)-,-legacy,-vistara-explorer-co--branded,-pinnacle)/INDSPC0424",IndusInd Legacy Credit Card,,
